Symbol	Name
M1LA	1-Month Lows AMEX
M1LD	1-Month Lows Otcbb
M1LE	1-Month Lows ETFS
M1LH	1-Month Lows Price Gt $10
M1LL	1-Month Lows Price Lt $10
M1LN	1-Month Lows NYSE
M1LP	1-Month Lows Sp500
M1LQ	1-Month Lows Nasdaq
M1LU	1-Month Lows Volume Lt 100K
M1LV	1-Month Lows Volume Gt 100K
M1LX	1-Month Lows Overall
M3HA	3-Month Highs AMEX
M3HD	3-Month Highs Otcbb
M3HE	3-Month Highs ETFS
M3HH	3-Month Highs Price Gt $10
M3HL	3-Month Highs Price Lt $10
M3HN	3-Month Highs NYSE
M3HP	3-Month Highs Sp500
M3HQ	3-Month Highs Nasdaq
M3HU	3-Month Highs Volume Lt 100K
M3HV	3-Month Highs Volume Gt 100K
M3HX	3-Month Highs Overall
M3LA	3-Month Lows AMEX
M3LD	3-Month Lows Otcbb
M3LE	3-Month Lows ETFS
M3LH	3-Month Lows Price Gt $10
M3LL	3-Month Lows Price Lt $10
M3LN	3-Month Lows NYSE
M3LP	3-Month Lows Sp500
M3LQ	3-Month Lows Nasdaq
M3LU	3-Month Lows Volume Lt 100K
M3LV	3-Month Lows Volume Gt 100K
M3LX	3-Month Lows Overall
M6HA	6-Month Highs AMEX
M6HD	6-Month Highs Otcbb
M6HE	6-Month Highs ETFS
M6HH	6-Month Highs Price Gt $10
M6HL	6-Month Highs Price Lt $10
M6HN	6-Month Highs NYSE
M6HP	6-Month Highs Sp500
M6HQ	6-Month Highs Nasdaq
M6HU	6-Month Highs Volume Lt 100K
M6HV	6-Month Highs Volume Gt 100K
M6HX	6-Month Highs Overall
M6LA	6-Month Lows AMEX
M6LD	6-Month Lows Otcbb
M6LE	6-Month Lows ETFS
M6LH	6-Month Lows Price Gt $10
M6LL	6-Month Lows Price Lt $10
M6LN	6-Month Lows NYSE
M6LP	6-Month Lows Sp500
M6LQ	6-Month Lows Nasdaq
M6LU	6-Month Lows Volume Lt 100K
M6LV	6-Month Lows Volume Gt 100K
M6LX	6-Month Lows Overall
MAHA	12-Month Highs AMEX
MAHD	12-Month Highs Otcbb
MAHE	12-Month Highs ETFS
MAHH	12-Month Highs Price Gt $10
MAHL	12-Month Highs Price Lt $10
MAHN	12-Month Highs NYSE
MAHP	12-Month Highs Sp500
MAHQ	12-Month Highs Nasdaq
MAHU	12-Month Highs Volume Lt 100K
MAHV	12-Month Highs Volume Gt 100K
MAHX	12-Month Highs Overall
MALA	12-Month Lows AMEX
MALD	12-Month Lows Otcbb
MALE	12-Month Lows ETFS
MALH	12-Month Lows Price Gt $10
MALL	12-Month Lows Price Lt $10
MALN	12-Month Lows NYSE
MALP	12-Month Lows Sp500
MALQ	12-Month Lows Nasdaq
MALU	12-Month Lows Volume Lt 100K
MALV	12-Month Lows Volume Gt 100K
MALX	12-Month Lows Overall
MBO	Chinese Mps Bskt
MDO	Mid Opn/Cls Avge
MERV	Merval - Argentina
MEV	AMEX Mexico Index Settlement
MFX	KBW Mortgage Finance Index
MGD	Midcp 400Barra
MIA	Mid O/C/H/L Avg
MID	Midcap 400 Idx
MIH	Mid Hi/Lo Avge
MIV	Mid-Cap Settle
MIXR	S&P C.S. Fl-Miami Home Price Index
MLO	Mer Lyn Tech 100
MMFI	Percent of Stocks Above 50-Day Moving Average
MMOF	Percent of Stocks Above 150-Day Moving Average
MMOH	Percent of Stocks Above 100-Day Moving Average
MMTH	Percent of Stocks Above 200-Day Moving Average
MMTW	Percent of Stocks Above 20-Day Moving Average
MNG	AMEX Mini-Natural Gas Index
MNXR	S&P C.S. Mn-Minneapolis Home Price Index
MOY	Morgan Stanley Internet Index F
MSH	M Stan Hi Tech
MTFI	CAD Percent of Stocks Above 50-Day Moving Averag
MTOF	CAD Percent of Stocks Above 150-Day Moving Avera
MTOH	CAD Percent of Stocks Above 100-Day Moving Avera
MTTH	CAD Percent of Stocks Above 200-Day Moving Avera
MTTW	CAD Percent of Stocks Above 20-Day Moving Averag
MUV	Mdcp 400Bar Val
MVH	Morgan Stanley High-Technology
MXX	Mexico IPC
MXY	Mexico Index
MYHA	YTD Highs AMEX
MYHD	YTD Highs Otcbb
MYHE	YTD Highs ETFS
MYHH	YTD Highs Price Gt $10
MYHL	YTD Highs Price Lt $10
MYHN	YTD Highs NYSE
MYHP	YTD Highs Sp500
MYHQ	YTD Highs Nasdaq
MYHU	YTD Highs Volume Lt 100K
MYHV	YTD Highs Volume Gt 100K
MYHX	YTD Highs Overall
MYLA	YTD Lows AMEX
MYLD	YTD Lows Otcbb
MYLE	YTD Lows ETFS
MYLH	YTD Lows Price Gt $10
MYLL	YTD Lows Price Lt $10
